Course Code,Course Name,Course Description
ALY 6000,Introduction to Analytics,"Offers an overview of analytics concepts and practices across a diverse range of industries and organizational contexts. Case studies of successful analytics initiatives from fields including retail, government, education, and the arts provide opportunities to examine how the collection and analysis of data impacts decision making within a variety of contexts. Offers students an opportunity to engage with the current theories, practices, and debates in the field of analytics to critically examine its practice. Distinctions among specific analytical techniques and tools, including the use of Excel for fundamental data analysis methods, provide context essential to preparing students to engage more deeply with the individual courses that follow."
ALY 6010,Probability Theory and Introductory Statistics,"Introduces statistics for business analytics from an analysis-of-data viewpoint. Topics include frequency distributions; measures of location; mean, median, mode; measures of dispersion; variance; graphic presentation; elementary probability; populations and samples; sampling distributions; categorical data; regression and correlation; and analysis of variance. Explores the use of statistical software in data analysis. Lab sessions emphasize hands-on application of probability and statistics in Excel and data problem solving with advanced Excel techniques."
ALY 6015,Intermediate Analytics,"Builds on the foundation laid in ALY 6000 and ALY 6010 by introducing fundamental data due diligence, data correction and recoding processes and practices, in addition to expanding upon the earlier introduced approaches to discerning and validating patterns in data through sound applications of the scientific method. Emphasizes hypothesis testing, the notion of statistical significance, and tests of difference. The goal of this course is to endow students with the fundamental data management, review, reengineering, and exploration skills as necessary data analytical competencies."
ALY 6050,Introduction to Enterprise Analytics,"Introduces the field of enterprise data analytics, which is defined as the extensive use of data, statistical and quantitative analysis, exploratory and predictive models, and fact-based decision making to drive business strategies and actions. Discusses a few widely practiced data analytics areas, such as marketing analytics, retail analytics, financial analytics, people analytics, as well as general industry practices in end-to-end analytics development cycles, including data management, data engineering, analytics modeling, and strategy development. Offers students an opportunity to learn how to use quantitative techniques for strategic business decision making. Introduces specific analysis techniques including forecasting, simulation, linear programming, and optimization."
ALY 6070,Communication and Visualization for Data Analytics,"Offers an interdisciplinary examination of design concepts and cognitive and communication theories that support effective practices for data visualization and communication. Considers the relationship between information and audience and studies effective techniques in the written, spoken, and visual communication of complex quantitative information. Project-based activities offer students opportunities to apply these techniques in a manner that makes data understandable, compelling, and actionable. Introduces R Shiny in the lab sessions as the tool for data visualization."
ALY 6110,Data Management and Big Data,"Designed to provide the student with the core concepts of data collection and management. Topics include systems for collecting data and implications for practice; types of data (textual, quantitative, qualitative, etc.); and storing data with privacy and security issues in mind. Offers students an opportunity to obtain a high-level understanding of big data technologies for data accessibility, efficiency, and security of data management at scale, including big data storage and computing technologies and big data analytics applications. Students create a working system for data acquisition and management using publicly available data sets and evaluate traditional data warehouse platforms as well as cloud-based big data storage and computing technologies. Azure is also introduced and used in the lab sessions."
ALY 6020,Predictive Analytics,"Introduces the end-to-end data-driven statistical modeling and predictive modeling approach in R with applications and case studies. Includes all the data and modeling steps in a full modeling cycle, including data ETL process, exploratory data analysis and data cleansing for outlier imputation and data normalization, commonly applied modeling techniques such as linear regression and logistic regression, modeling steps such as model training, and validation and testing. R is introduced as the data processing, analysis, and modeling tool and is used in the case studies."
ALY 6040,Data Mining Applications,"Introduces the theories and tools for intensive data analysis methods and data mining techniques such as rule-based learning, decision trees, clustering, and association-rule mining. Also covers interpretation of the mined patterns using visualization techniques. Offers students an opportunity to gain the knowledge and experience to apply modern data-mining techniques for effective large-scale data pattern recognition and insight discovery. Introduces data analysis software; student teams evaluate, analyze, and report data for the methods used and insights discovered during case studies."
ALY 6983,Topics,Discusses contemporary topics in analytics for a rotating variety of industries (nonprofit and for-profit).
GIS 5103,Foundations of Geographic Information Science,"Introduces geospatial data, technology, visualization, and analysis to support spatial inquiry and decision making. Topics include geospatial principles, geospatial data models and data types, metadata and attribute data, data sources, geospatial software options, quality assurance and quality control, and government/industry application areas. Includes technical knowledge of common geospatial analysis tasks. Offers students an opportunity to obtain hands-on experience using professional-grade platforms (ArcGIS, QGIS) and other geospatial software products."
